dataset,protected_attribute,alternative_composite,top1_same,top1_original,top1_alternative,top3_overlap,spearman_rho,kendall_tau,n_configs
acs_income_ca_2018,age_group,cfs_no_di,True,logistic_regression|ExponentiatedGradient_DP,logistic_regression|ExponentiatedGradient_DP,2,0.982843137254902,0.9117647058823529,17
acs_income_ca_2018,age_group,cfs_di_clipped,True,logistic_regression|ExponentiatedGradient_DP,logistic_regression|ExponentiatedGradient_DP,3,1.0,0.9999999999999999,17
acs_income_ca_2018,age_group,cfs_four_fifths,True,logistic_regression|ExponentiatedGradient_DP,logistic_regression|ExponentiatedGradient_DP,2,0.9975490196078433,0.9852941176470588,17
acs_income_ca_2018,sex,cfs_no_di,False,logistic_regression|reweighing,logistic_regression|ExponentiatedGradient_EO,0,-0.28186274509803927,-0.13235294117647056,17
acs_income_ca_2018,sex,cfs_di_clipped,True,logistic_regression|reweighing,logistic_regression|reweighing,3,1.0,0.9999999999999999,17
acs_income_ca_2018,sex,cfs_four_fifths,False,logistic_regression|reweighing,logistic_regression|ExponentiatedGradient_EO,0,-0.28186274509803927,-0.13235294117647056,17
adult,age_group,cfs_no_di,True,logistic_regression|ExponentiatedGradient_DP,logistic_regression|ExponentiatedGradient_DP,2,0.965686274509804,0.8823529411764705,17
adult,age_group,cfs_di_clipped,True,logistic_regression|ExponentiatedGradient_DP,logistic_regression|ExponentiatedGradient_DP,3,1.0,0.9999999999999999,17
adult,age_group,cfs_four_fifths,True,logistic_regression|ExponentiatedGradient_DP,logistic_regression|ExponentiatedGradient_DP,3,1.0,0.9999999999999999,17
adult,race,cfs_no_di,False,logistic_regression|ExponentiatedGradient_DP,logistic_regression|equalized_odds,2,0.8823529411764707,0.764705882352941,17
adult,race,cfs_di_clipped,True,logistic_regression|ExponentiatedGradient_DP,logistic_regression|ExponentiatedGradient_DP,3,1.0,0.9999999999999999,17
adult,race,cfs_four_fifths,True,logistic_regression|ExponentiatedGradient_DP,logistic_regression|ExponentiatedGradient_DP,3,1.0,0.9999999999999999,17
adult,sex,cfs_no_di,False,random_forest|ExponentiatedGradient_DP,mlp|equalized_odds,1,0.556140350877193,0.48538011695906425,19
adult,sex,cfs_di_clipped,True,random_forest|ExponentiatedGradient_DP,random_forest|ExponentiatedGradient_DP,3,1.0,1.0,19
adult,sex,cfs_four_fifths,False,random_forest|ExponentiatedGradient_DP,random_forest|equalized_odds,2,0.9842105263157893,0.9415204678362572,19
bank_uci,age_group,cfs_no_di,False,random_forest|equalized_odds,logistic_regression|ExponentiatedGradient_DP,1,0.7228070175438598,0.543859649122807,19
bank_uci,age_group,cfs_di_clipped,True,random_forest|equalized_odds,random_forest|equalized_odds,3,0.7859649122807018,0.6959064327485379,19
bank_uci,age_group,cfs_four_fifths,True,random_forest|equalized_odds,random_forest|equalized_odds,3,0.8929824561403509,0.8128654970760234,19
bank_uci,job_group,cfs_no_di,False,random_forest|equalized_odds,mlp|equalized_odds,1,0.7426470588235294,0.5441176470588235,17
bank_uci,job_group,cfs_di_clipped,True,random_forest|equalized_odds,random_forest|equalized_odds,3,1.0,0.9999999999999999,17
bank_uci,job_group,cfs_four_fifths,False,random_forest|equalized_odds,mlp|equalized_odds,2,0.9215686274509804,0.8088235294117646,17
