dataset,protected_attribute,composite,model,mitigation,config_id,mean_cfs_original,mean_cfs_no_di,mean_cfs_di_clipped,mean_cfs_four_fifths
acs_income_ca_2018,age_group,cfs_original,logistic_regression,ExponentiatedGradient_DP,logistic_regression|ExponentiatedGradient_DP,0.03189225623761217,0.027368092902165887,0.03189225623761217,0.020526069676624414
acs_income_ca_2018,sex,cfs_original,logistic_regression,reweighing,logistic_regression|reweighing,0.03886876473752875,0.03700991150337694,0.03886876473752875,0.0277574336275327
adult,age_group,cfs_original,logistic_regression,ExponentiatedGradient_DP,logistic_regression|ExponentiatedGradient_DP,0.05794285905292922,0.03494667003700978,0.05794285905292922,0.027134617312827635
adult,race,cfs_original,logistic_regression,ExponentiatedGradient_DP,logistic_regression|ExponentiatedGradient_DP,0.05889752220512888,0.04394046356258989,0.05889752220512888,0.03399095998145507
adult,sex,cfs_original,random_forest,ExponentiatedGradient_DP,random_forest|ExponentiatedGradient_DP,0.12142281704262256,0.11043925551967743,0.12142281704262256,0.08371389529984098
bank_uci,age_group,cfs_original,random_forest,equalized_odds,random_forest|equalized_odds,0.08364719791677416,0.024960706427392253,0.08364719791677416,0.029944365427766417
bank_uci,job_group,cfs_original,random_forest,equalized_odds,random_forest|equalized_odds,0.0278840245661758,0.014922103719149812,0.0278840245661758,0.01119157778936236
acs_income_ca_2018,age_group,cfs_no_di,logistic_regression,ExponentiatedGradient_DP,logistic_regression|ExponentiatedGradient_DP,0.03189225623761217,0.027368092902165887,0.03189225623761217,0.020526069676624414
acs_income_ca_2018,sex,cfs_no_di,logistic_regression,ExponentiatedGradient_EO,logistic_regression|ExponentiatedGradient_EO,0.04686356109292515,0.025346837462968026,0.04686356109292515,0.019010128097226024
adult,age_group,cfs_no_di,logistic_regression,ExponentiatedGradient_DP,logistic_regression|ExponentiatedGradient_DP,0.05794285905292922,0.03494667003700978,0.05794285905292922,0.027134617312827635
adult,race,cfs_no_di,logistic_regression,equalized_odds,logistic_regression|equalized_odds,0.08652563812369513,0.03815667051434044,0.08652563812369513,0.041053659688222034
adult,sex,cfs_no_di,mlp,equalized_odds,mlp|equalized_odds,0.1305792400840456,0.0424575620137188,0.1305792400840456,0.08057924008404556
bank_uci,age_group,cfs_no_di,logistic_regression,ExponentiatedGradient_DP,logistic_regression|ExponentiatedGradient_DP,0.21836799509799015,0.014790737451669143,0.20077091924965307,0.15353158393738559
bank_uci,job_group,cfs_no_di,mlp,equalized_odds,mlp|equalized_odds,0.029848809930026914,0.013454806820862834,0.029848809930026914,0.010472140352282555
acs_income_ca_2018,age_group,cfs_di_clipped,logistic_regression,ExponentiatedGradient_DP,logistic_regression|ExponentiatedGradient_DP,0.03189225623761217,0.027368092902165887,0.03189225623761217,0.020526069676624414
acs_income_ca_2018,sex,cfs_di_clipped,logistic_regression,reweighing,logistic_regression|reweighing,0.03886876473752875,0.03700991150337694,0.03886876473752875,0.0277574336275327
adult,age_group,cfs_di_clipped,logistic_regression,ExponentiatedGradient_DP,logistic_regression|ExponentiatedGradient_DP,0.05794285905292922,0.03494667003700978,0.05794285905292922,0.027134617312827635
adult,race,cfs_di_clipped,logistic_regression,ExponentiatedGradient_DP,logistic_regression|ExponentiatedGradient_DP,0.05889752220512888,0.04394046356258989,0.05889752220512888,0.03399095998145507
adult,sex,cfs_di_clipped,random_forest,ExponentiatedGradient_DP,random_forest|ExponentiatedGradient_DP,0.12142281704262256,0.11043925551967743,0.12142281704262256,0.08371389529984098
bank_uci,age_group,cfs_di_clipped,random_forest,equalized_odds,random_forest|equalized_odds,0.08364719791677416,0.024960706427392253,0.08364719791677416,0.029944365427766417
bank_uci,job_group,cfs_di_clipped,random_forest,equalized_odds,random_forest|equalized_odds,0.0278840245661758,0.014922103719149812,0.0278840245661758,0.01119157778936236
acs_income_ca_2018,age_group,cfs_four_fifths,logistic_regression,ExponentiatedGradient_DP,logistic_regression|ExponentiatedGradient_DP,0.03189225623761217,0.027368092902165887,0.03189225623761217,0.020526069676624414
acs_income_ca_2018,sex,cfs_four_fifths,logistic_regression,ExponentiatedGradient_EO,logistic_regression|ExponentiatedGradient_EO,0.04686356109292515,0.025346837462968026,0.04686356109292515,0.019010128097226024
adult,age_group,cfs_four_fifths,logistic_regression,ExponentiatedGradient_DP,logistic_regression|ExponentiatedGradient_DP,0.05794285905292922,0.03494667003700978,0.05794285905292922,0.027134617312827635
adult,race,cfs_four_fifths,logistic_regression,ExponentiatedGradient_DP,logistic_regression|ExponentiatedGradient_DP,0.05889752220512888,0.04394046356258989,0.05889752220512888,0.03399095998145507
adult,sex,cfs_four_fifths,random_forest,equalized_odds,random_forest|equalized_odds,0.13020291772247486,0.049352376892182435,0.13020291772247486,0.08020291772247487
bank_uci,age_group,cfs_four_fifths,random_forest,equalized_odds,random_forest|equalized_odds,0.08364719791677416,0.024960706427392253,0.08364719791677416,0.029944365427766417
bank_uci,job_group,cfs_four_fifths,mlp,equalized_odds,mlp|equalized_odds,0.029848809930026914,0.013454806820862834,0.029848809930026914,0.010472140352282555
